AIP Gagnoa	16543
Amelie Gagnon	14896
Certificat de Gage	14761
Diane Coury and Amélie Gagnon	15604
Dr. Gagigo	6226
Dr. Ousman Gagigo	6226
Engr Nadungu Gagare	8121
Engr. Nadungu Gagare	10063
Fermage Métayage Gage Autre	737
Gagare	8986,683,394
Gage AD	11596
Gagliardone	2518,8637
Gaglio	7278
Gagnant de Prix	15708
Gagnat AA	771
Gagnat&author	771
Gagner	10876
Gagnoa	8339,6934,1270
Gagnon	14896
Issue of Certificat de Gage	14761
Jean Claude Gaga	8535
Martin Ahachi Dr. T.A. Gaga MFB&NP	11857
Nadungu Gagare	7593,1393,683,487,268,173
