Benishangul Gumuz	12198,1850,48
Benishangul Gumuz Region	13998
Benishangul Gumz	11004,960
CEO Thando Gumede	10118
Colonel GUMEDZOE Dzidzogbe Kokou Eric	19251
DR. BERNARD GUMAN	15845
Desmond Anele Gumbochuma	2920
Dr. S. Gumbi	11131
Dr. Sikhomba Gumbi	11131
EDITOR'S CHOICE Politics Zandile Gumede	3962
GUMEDE	13504
Ghana News Agency By Solomon Gumah	14285
Gum Arabic	18220,667
Guma Peter Majok	17557
Guma Valley	18504
Guma Valley Water Company	18498
Gumare	2935
Gumare and Ghanzi	12610
Gumbani	3264
Gumbi	7759
Gumbo	18649,30,9
Gumbo Warehouse	18679
Gumede	10118
Gumersindo Ela Esono	14304
Gummadi	8436
Gummer	8436
Gummission	16836
Gumuz	13948
Letlhakeng and Gumare Level I Primary Hospitals	12606
Lieutenant-colonel GUMEDZOE Komlan EdemAgbenyega	19251
Linda Vukani Gumede	1814
Ms. Z. Gumede	1554
Nondzwakazi Gumede	396
R9.9-billion. Nersa's Nhlanhla Gumede	11904
Riverside Warehouse and Gumbo and Wau Regional Warehouse	18679
Sheunopa Gumbochuma	1554
Sibusiso Gumbi	8946
Solomon Gumah Reporter	14285
Solomon Gumah Tamale	10142
Tatiana Gumucio	6948
Thando Gumede	10118
Zandile Gumede	3962
