slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-09-02-afdb-axian-digital-finance-women-led-businesses,"African Development Bank and AXIAN Launch Digital Finance Programme to Support 34,000 Women-led Businesses in Africa",African Development Bank Group (distributed by APO Group),,2026-09-02,day,MDG; TZA; SEN; TGO; COM,finance.new; dpi.pay,african-development-bank; axian-group,,full,False,,1077,2026-09-04,https://afdb.africa-newsroom.com/press/african-development-bank-and-axian-launch-digital-finance-programme-to-support-34000-womenled-businesses-in-africa
2026-08-31-unsd-datas-in-comoros,DATAS in Comoros,United Nations Statistics Division (UNSD),,2026-08-31,day,COM,data.statistics,unsd; inseed-comores,,full,False,,241,2026-09-01,https://unstats.un.org/UNSDWebsite/capacity-development/data-for-now/country-details/Comoros
2026-08-31-starlink-16-nouveaux-marches-africains-agenceecofin,Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,,full,False,,647,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026
2026-08-31-puc-gouv-km-portail-unique-citoyen-note-conceptuelle,Portail Unique du Citoyen — Note conceptuelle,Union des Comores (Portail Unique du Citoyen / ANADEN),,2026-08-31,day,COM,gov.standards,anaden; portail-unique-citoyen-comores,,full,False,,417,2026-09-01,https://puc.gouv.km/about
2026-08-31-fao-giews-earth-observation-comoros,FAO GIEWS Earth Observation — Comoros Country Indicators,FAO Global Information and Early Warning System on Food and Agriculture (GIEWS),,2026-08-31,day,COM,data.satellite,fao,,excerpt,False,,615,2026-09-01,https://eo.apps.fao.org/country/index.jsp?code=COM&lang=en
2026-08-31-com-udc-institut-universitaire-technologie-presentation,Institut Universitaire de Technologie,Université des Comores,,2026-08-31,day,COM,capacity.training,university-of-comoros,,excerpt,False,,93,2026-09-01,https://univ-comores.com/composantes/institut-universitaire-de-technologie
2026-08-31-com-justice-nous-contacter-reclamation-plainte,Contact – Ministère de la Justice des Comores,"Ministère de la Justice, des Affaires Islamiques et de la Fonction Publique de l'Union des Comores",,2026-08-31,day,COM,include.access,ministere-justice-comores; afd; expertise-france,,full,False,,239,2026-09-01,https://justice.gouv.km/nous-contacter/
2026-08-28-lagazettedescomores-amecc-etat-civil-enterrer-registres-papier,État civil L'AMECC veut enterrer les registres sur papier,La Gazette des Comores,,2026-08-28,day,COM,digital.rural,amecc-project; ministry-of-interior-comoros; unicef; france,,full,False,,453,2026-09-01,https://lagazettedescomores.com/soci%C3%A9t%C3%A9/%C3%A9tat-civil-l%E2%80%99amecc-veut-enterrer-les-registres-sur-papier-.html
2026-08-27-comores-gouvernance-donnees-strategie-nationale-alwatwan,Gouvernance des données I Les Comores se dotent d'une stratégie nationale,Al-watwan,,2026-08-27,day,COM,gov.policy; dpi.exchange; gov.protect,ministry-of-posts-telecoms-comoros; anaden; auda-nepad,sovereignty,full,False,,589,2026-08-29,https://alwatwan.net/societe/gouvernance-des-donn%C3%A9es-i-les-comores-se-dotent-d%E2%80%99une-strat%C3%A9gie-nationale.html
2026-08-27-comores-cschool-transformation-numerique-education-alwatwan,Transformation numérique I Abdoul-Wahid Hassani lance officiellement «Cschool»,Al-watwan,,2026-08-27,day,COM,dpi.mis; tech.innovate,cschool; actic-comoros; ministry-of-education-comoros,,full,False,,583,2026-08-29,https://alwatwan.net/societe/transformation-num%C3%A9rique-i-abdoul-wahid-hassani-lance-officiellement-%C2%ABcschool%C2%BB.html
2026-08-26-com-ria-national-data-strategy-validated,ENGAGEMENTS | The Comoros validates its National Data Strategy,Research ICT Africa,,2026-08-26,day,COM,capacity.research; gov.regional; include.access,research-ict-africa; african-union; giz; european-union,,full,False,,389,2026-09-01,https://www.linkedin.com/posts/research-ict-africa_digitaltransformation-nationaldatastrategy-activity-7498401504303845376-wyiI
2026-08-26-com-200-millions-de-francs-de-pertes-presumees-entre-mvola-et-la,200 millions de francs de pertes presumees entre Mvola et la Sonelec a Moheli,"Comores infos, 1er site d'information des Comores",,2026-08-26,day,COM,dpi.pay; gov.discourse,mvola; sonelec-comores; yas-comores,,full,False,,203,2026-08-27,https://www.comoresinfos.net/200-millions-de-francs-de-pertes-presumees-que-sest-il-passe-entre-mvola-et-la-sonelec-a-moheli/
2026-08-26-auda-nepad-comoros-data-governance-strategy,L'AUDA-NEPAD s'associe à l'Union des Comores pour impulser la transformation numérique,AUDA-NEPAD,,2026-08-26,day,COM,gov.policy; gov.regional,auda-nepad,,full,False,,373,2026-08-28,https://www.nepad.org/news/lauda-nepad-sassocie-lunion-des-comores-pour-impulser-la-transformation-numerique
2026-08-25-comores-ia-mariama-madi-american-corner-lagazettedescomores,L'Intelligence Artificielle aux Comores: Mariama Madi éveille les consciences à l'American Corner,La Gazette des Comores,,2026-08-25,day,COM,tech.ai; capacity.literacy; data.satellite; gov.discourse,cndrs-comoros,,full,False,,570,2026-08-25,https://lagazettedescomores.com/soci%C3%A9t%C3%A9/l%E2%80%99intelligence-artificielle-aux-comores-mariama-madi-%C3%A9veille-les-consciences-%C3%A0-lamerican-corner-.html
