slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-09-04-union-sonapresse-gabon-apdpvp-data-protection-interview,"Joël Dominique Ledaga : \""Pour échanger directement avec Meta, TikTok ou Instagram, il faut une réponse africaine commune\""",L'Union - Sonapresse,,2026-09-04,day,GAB,gov.protect; infra.store; gov.regional,apdpvp; st-digital-gabon; hac-gabon,sovereignty,full,False,,574,2026-09-05,https://union.sonapresse.com/fr/joel-dominique-ledaga-pour-echanger-directement-avec-meta-tiktok-ou-instagram-il-faut-une-reponse
2026-09-03-techafricanews-gabon-itu-council-candidacy,Gabon Puts Forward Its Candidacy for the ITU Council,Tech Africa News,,2026-09-03,day,GAB,gov.regional; gov.standards,itu,,full,False,,324,2026-09-04,https://techafricanews.com/2026/09/03/gabon-presents-its-candidacy-for-the-international-telecommunication-union-itu-council/
2026-09-03-gabon-itu-council-candidacy-digitalisation-strategy,Gabon/Numérique : le pays sa candidature au Conseil de l'Union internationale des télécommunications,Agence Gabonaise de Presse (AGP),,2026-09-03,day,GAB,gov.regional; gov.standards,ministere-economie-numerique-gabon; itu,,full,False,,369,2026-09-04,https://agpgabon.ga/gabon-numerique-le-pays-sa-candidature-au-conseil-de-lunion-internationale-des-telecommunications/
2026-09-02-gabon-programme-citoyennete-protection-sociale-mouila,Gabon : la directrice générale de la Prévoyance Sociale s’enquiert du déroulement du Programme « Citoyenneté et Protection Sociale » à Mouila,Agence Gabonaise de Presse (AGP),,2026-09-02,day,GAB,dpi.id; dpi.exchange; gov.policy,cnamgs; ministere-affaires-sociales-gabon; direction-generale-prevoyance-sociale-gabon,,full,False,,511,2026-09-04,https://agpgabon.ga/gabon-la-directrice-generale-de-la-prevoyance-sociale-senquiert-du-deroulement-du-programme-citoyennete-et-protection-sociale-a-mouila/
2026-09-01-techafricanews-gabon-makokou-wifi-driving-licence,Gabon Expands Digital Access With Public Wi-Fi and Digital Driving Licence in Makokou,Tech Africa News,,2026-09-01,day,GAB,dpi.govtech; infra.connect; include.access,aninf-gabon; ministere-economie-numerique-gabon,,full,False,,247,2026-09-02,https://techafricanews.com/2026/09/01/gabon-digital-access-public-wifi-driving-licence-makokou/
2026-09-01-e-gouvernance-rwanda-etudes-gabon-guinee-liberia,"E-gouvernance : Gabon, Guinée, Liberia… le Rwanda attire les administrations africaines venues étudier son modèle numérique",Digital Business Africa,,2026-09-01,day,RWA; GAB; GIN; LBR,dpi.exchange; gov.regional; dpi.govtech,rwanda-cooperation; irembo; world-bank; undp,,excerpt,False,,542,2026-09-04,https://www.digitalbusiness.africa/e-gouvernance-gabon-guinee-liberia-le-rwanda-attire-les-administrations-africaines-venues-etudier-son-modele-numerique/
2026-08-31-wearetech-gabon-rwanda-digital-transformation,Le Gabon s'inspire du modèle rwandais pour accélérer sa transformation numérique,wearetech.africa,,2026-08-31,day,GAB; RWA,dpi.govtech; gov.regional; dpi.id,irembo; rura-rwanda; ministere-de-l-interieur-gabon; rwanda-cooperation,,full,False,,473,2026-08-31,https://www.wearetech.africa/fr/fils/actualites/tech/le-gabon-s-inspire-du-modele-rwandais-pour-accelerer-sa-transformation-numerique
2026-08-31-starlink-16-nouveaux-marches-africains-agenceecofin,Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,,full,False,,647,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026
2026-08-31-gabon-dgpro-ai-agenda-2063,Gabon/Planification : la DGPRO se forme à l'IA pour améliorer le suivi de l'Agenda 2063,Agence Gabonaise de Presse (AGP),,2026-08-31,day,GAB,capacity.training; tech.ai; gov.policy,ministere-planification-prospective-gabon; african-capacity-building-foundation; african-union-commission,,full,False,,271,2026-09-01,https://agpgabon.ga/gabon-planification-la-dgpro-se-forme-a-lia-pour-ameliorer-le-suivi-de-lagenda-2063/
2026-08-28-ogooue-ivindo-tablettes-manuels-etablissements,Gabon/Éducation : des tablettes et manuels scolaires remis aux établissements de l'Ogooué-Ivindo,Agence Gabonaise de Presse,,2026-08-28,day,GAB,dpi.mis; capacity.training,ministere-education-nationale-gabon,,full,False,,239,2026-09-04,https://agpgabon.ga/gabon-education-des-tablettes-et-manuels-scolaires-remis-aux-etablissements-de-logooue-ivindo/
2026-08-28-echosdeleco-gabon-ai-governance-index,"IA : le Gabon dans le top 13 africain, mais le fossé entre les engagements officiels et la réalité reste béant",Échos de l'Éco,,2026-08-28,day,GAB,tech.ai; gov.policy,lawyers-hub,,full,False,,701,2026-09-01,https://www.echosdeleco.com/articles/ia-le-gabon-dans-le-top-13-africain-mais-le-fosse-entre-les-engagements-officiels-et-la-realite-reste-beant
2026-08-27-sonapresse-sing-restructuration-directeur-general,SING : une restructuration en vue après le départ du directeur général,L'Union - Sonapresse,,2026-08-27,day,GAB,tech.innovate; dpi.govtech,sing-gabon; spin-gabon; ministere-economie-numerique-gabon; deloitte,,full,False,,369,2026-08-29,https://union.sonapresse.com/fr/sing-une-restructuration-en-vue-apres-le-depart-du-directeur-general
2026-08-27-sonapresse-fur-redynamiser-fonction-publique,Fonction publique : redynamiser le Fichier unique de référence,L'Union - Sonapresse,,2026-08-27,day,GAB,dpi.govtech; dpi.registry,aninf-gabon; ministere-fonction-publique-gabon; ministere-economie-numerique-gabon; vice-presidence-gouvernement-gabon,,full,False,,395,2026-08-29,https://union.sonapresse.com/fr/fonction-publique-redynamiser-le-fichier-unique-de-reference
2026-08-27-ecofin-protection-mineurs-reseaux-sociaux-afrique,"En Afrique comme ailleurs, les Etats s'emparent de la protection des mineurs sur les reseaux sociaux",Agence Ecofin,,2026-08-27,day,XAF; GAB; NGA; RWA; ZWE,gov.legislate; gov.protect; gov.policy,african-union; meta,,full,False,,740,2026-08-27,https://www.agenceecofin.com/actualites/2708-141074-en-afrique-comme-ailleurs-les-etats-s-emparent-de-la-protection-des-mineurs-sur-les-reseaux-sociaux
2026-08-26-gabonreview-fur-carrieres-soldes-fonctionnaires,"Carrières, reclassements, soldes des fonctionnaires : les ratés du FUR mettent le gouvernement sous pression",GabonReview,,2026-08-26,day,GAB,dpi.govtech; dpi.mis,aninf-gabon; ministere-fonction-publique-gabon; ministere-economie-numerique-gabon; government-of-gabon,,full,False,,661,2026-08-29,https://www.gabonreview.com/carrieres-reclassements-soldes-des-fonctionnaires-les-rates-du-fur-mettent-le-gouvernement-sous-pression/
2026-08-25-gabonreview-vols-cables-cuivre-enquete-gouvernement,"Cables en cuivre voles, Internet perturbe : le gouvernement durcit le ton et annonce une enquete",Gabonreview,,2026-08-25,day,GAB,infra.connect; gov.policy,government-of-gabon,,full,False,,595,2026-08-26,https://www.gabonreview.com/cables-en-cuivre-voles-internet-perturbe-le-gouvernement-durcit-le-ton-et-annonce-une-enquete/
2026-08-25-gabonclic-backbone-national-panne-lope-sabotage,"Gabon : Le Backbone national plonge dans le noir numerique, simple incident ou sabotage cible ?",Gabonclic.info,,2026-08-25,day,GAB,infra.connect,axione-gabon,,full,False,,650,2026-08-26,https://gabonclic.info/gabon-le-backbone-national-plonge-dans-le-noir-numerique-simple-incident-ou-sabotage-cible/
2026-08-25-gab-gabon-etats-unis-130-jeunes-formes-en-cybersecurite-reseaux,Gabon-Etats-Unis : 130 jeunes formes en cybersecurite reseaux IA et programmation,Gabon Media Time,,2026-08-25,day,GAB,capacity.training; infra.cybersec; geopol.usa; include.access; finance.mou,cybastion; theya-foundation; aninf-gabon; cisco-networking-academy,sovereignty,full,False,,427,2026-08-27,https://gabonmediatime.com/gabon-etats-unis-130-jeunes-formes-en-cybersecurite-reseaux-ia-et-programmation/
2026-08-25-depeches241-gabon-mbigou-moov-africa-reseau-arcep,Mbigou : Moov Africa Gabon Telecom vend des gigas sur un réseau inexistant,Groupe Dépêches 241,,2026-08-25,day,GAB,infra.connect; gov.discourse; include.divides,moov-africa-gabon-telecom; arcep-gabon,,full,False,,377,2026-08-25,https://depeches241.com/?p=29909
2026-08-24-infosgabon-moov-mia-assistant-vocal-sans-internet,Gabon : MIA l'intelligence artificielle sans Internet,INFOS GABON,,2026-08-24,day,GAB,tech.ai; include.divides; include.access,moov-africa-gabon-telecom; arcep-gabon,,full,False,,746,2026-08-27,https://fr.infosgabon.com/gabon-mia-lintelligence-artificielle-sans-internet/
2026-08-24-gabonreview-sing-sa-dg-limoge-projet-fusion-cgi,"DG limoge, locaux vides, projet de fusion - vers une disparition en catimini de la SING SA ?",GabonReview,,2026-08-24,day,GAB,dpi.govtech; tech.innovate; gov.policy,ministere-economie-numerique-gabon; spin-gabon; world-bank,,full,False,,1276,2026-08-25,https://www.gabonreview.com/dg-limoge-locaux-vides-projet-de-fusion-vers-une-disparition-en-catimini-de-la-sing-sa/
2026-08-24-gab-tribune-rentree-scolaire-et-si-l-administration-preparait-au,Tribune : Rentree scolaire et si l'administration preparait aussi la rentree du citoyen ?,Gabonreview.com | Actualité du Gabon |,,2026-08-24,day,GAB,gov.discourse; dpi.govtech; dpi.exchange,,,full,False,,1391,2026-08-27,https://www.gabonreview.com/tribune-rentree-scolaire-et-si-ladministration-preparait-aussi-la-rentree-du-citoyen/
2026-08-24-gab-taxation-des-gafam-au-gabon-opportunite-ou-frein,Taxation des GAFAM au Gabon : opportunite ou frein ?,Kongossa News,,2026-08-24,day,GAB,gov.legislate; tech.industry; gov.discourse,dgi-gabon; netflix; google; amazon-web-services,sovereignty,full,False,,439,2026-08-27,https://kongossanews.info/taxation-gafam-tva-numerique-gabon/
2026-08-21-lunion-gabon-arcep-tripartite-dialogue,Telecommunications : l'ARCEP instaure un dialogue tripartite,L'Union (Sonapresse),,2026-08-21,day,GAB,gov.discourse; gov.policy; include.access,arcep-gabon; sos-consommateurs-gabon,,full,False,,249,2026-08-23,https://www.union.sonapresse.com/index.php/fr/telecommunications-larcep-instaure-un-dialogue-tripartite
2026-08-21-lunion-africa-cdc-central-africa-health-data-sharing-roadmap,Africa CDC : une feuille de route ambitieuse pour le partage des donnees sanitaires,"L'Union (Sonapresse, Gabon)",,2026-08-21,day,XCA; GAB,gov.regional; dpi.exchange; gov.protect,africa-cdc,,full,False,,482,2026-08-23,https://union.sonapresse.com/index.php/fr/africa-cdc-une-feuille-de-route-ambitieuse-pour-le-partage-des-donnees-sanitaires
2026-08-21-gabonreview-rgpl-cour-constitutionnelle-verification-chiffres,RGPL : la Cour constitutionnelle lance la verification des chiffres dans les neuf provinces,GabonReview,,2026-08-21,day,GAB,data.statistics; gov.legislate,cour-constitutionnelle-gabon,,full,False,,774,2026-08-25,https://www.gabonreview.com/rgpl-la-cour-constitutionnelle-lance-la-verification-des-chiffres-dans-les-neuf-provinces/
2026-08-21-arcep-activation-numero-court-1331,Activation du numéro court 1331 : l’ARCEP renforce le dialogue avec les opérateurs et les consommateurs,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP Gabon),,2026-08-21,day,GAB,include.access; gov.legislate,arcep-gabon,,full,False,,706,2026-09-04,https://www.arcep.ga/pages/detail_actu/119
2026-08-20-agp-gabon-cgi-gain-startup-financing-mou,Gabon/Innovation : le CGI et GAIN scellent un partenariat pour faciliter l'acces des startups au financement,Agence Gabonaise de Presse,,2026-08-20,day,GAB,finance.mou; tech.innovate,centre-gabonais-de-linnovation; gabon-angel-investor-network,,full,False,,191,2026-08-23,https://agpgabon.ga/gabon-innovation-le-cgi-et-gain-scellent-un-partenariat-pour-faciliter-lacces-des-startups-au-financement/
2026-08-20-agp-gabon-arcep-dialogue-committee,Gabon/Acteurs du numerique : l'ARCEP cree l'espace de dialogue tant attendu,Agence Gabonaise de Presse,,2026-08-20,day,GAB,gov.policy; gov.discourse; include.access,arcep-gabon; sos-consommateurs-gabon,,full,False,,366,2026-08-23,https://agpgabon.ga/gabon-acteurs-du-numerique-larcep-cree-lespace-de-dialogue-tant-attendu/
2026-08-19-gabonreview-yango-libreville-transport-urbain,Transport urbain : Yango debarque a Libreville sur un air de L'Oiseau Rare et Emmaa,GabonReview,,2026-08-19,day,GAB,tech.industry; gov.policy,yango,,full,False,,464,2026-08-25,https://www.gabonreview.com/transport-urbain-yango-debarque-a-libreville-sur-un-air-de-loiseau-rare-et-emma/
2026-08-19-gabonreview-transparence-fiscale-us-fiscal-transparency-report-2026,Transparence fiscale : le Gabon de nouveau epingle par Washington sur la dette de ses entreprises publiques,GabonReview,,2026-08-19,day,GAB,data.open; gov.policy; geopol.usa,us-department-of-state,,full,False,,886,2026-08-25,https://www.gabonreview.com/transparence-fiscale-le-gabon-de-nouveau-epingle-par-washington-sur-la-dette-de-ses-entreprises-publiques/
2026-08-16-gabonmediatime-household-financial-maturity-survey,Gabon : lancement d'une etude pour mesurer la maturite financiere des menages,Gabon Media Time,,2026-08-16,day,GAB,gov.discourse; dpi.pay; include.access,cosumaf; instat-gabon; oecd,,full,False,,517,2026-08-23,https://gabonmediatime.com/gabon-lancement-dune-etude-pour-mesurer-la-maturite-financiere-des-menages/
2026-08-14-gabon-api-pnr-airport-security-data,Gabon/Transport aérien : le déploiement du système API/PNR entre dans sa phase opérationnelle,Agence Gabonaise de Presse (AGP),,2026-08-14,day,GAB,dpi.exchange; infra.cybersec,onsfag; anac-gabon; securiport; royal-air-maroc,,full,False,,416,2026-08-18,https://agpgabon.ga/gabon-transport-aerien-le-deploiement-du-systeme-api-pnr-entre-dans-sa-phase-operationnelle/
2026-08-13-gabon-moves-to-strengthen-health-insurance-systems-through-digital-audit,Gabon Moves to Strengthen Health Insurance Systems Through Digital Audit,Tech Africa News,,2026-08-13,day,GAB,finance.mou,aninf-gabon; cnamgs,,full,False,,288,2026-08-16,https://techafricanews.com/2026/08/13/gabon-moves-to-strengthen-health-insurance-systems-through-digital-audit/
2026-08-13-gabon-cndpc-cyberspace-legislation-call,Gabon / Outrage au chef de l'État : la CNDPC appelle à des mesures fortes contre les dérives sur les réseaux sociaux,Agence Gabonaise de Presse (AGP),,2026-08-13,day,GAB,gov.legislate; gov.regional,cndpc-gabon,sovereignty,full,False,,342,2026-08-18,https://agpgabon.ga/gabon-outrage-au-chef-de-letat-la-cndpc-appelle-a-des-mesures-fortes-contre-les-derives-sur-les-reseaux-sociaux
