slug,title,publisher,author,published,date_precision,places,topics,entities,lens,body_completeness,finance,artefact,words,ingested,url
2026-08-31-starlink-16-nouveaux-marches-africains-agenceecofin,Internet par satellite : Starlink cible 16 nouveaux marchés africains d'ici fin 2026,Agence Ecofin,,2026-08-31,day,MRT; MLI; GMB; GIN; BFA; TGO; TUN; UGA; TZA; COM; NAM; AGO; COG; GAB; CMR; MUS,infra.connect; geopol.usa,starlink; spacex,,full,False,,647,2026-08-31,https://www.agenceecofin.com/actualites-numerique/3108-141168-internet-par-satellite-starlink-cible-16-nouveaux-marches-africains-d-ici-fin-2026
2026-08-31-africaguinee-pra-uemoa-assembly,Guinée : la 12e Assemblée générale des régulateurs de l'audiovisuel s'ouvre sur fond de lutte contre la désinformation,Africa Guinée,,2026-08-31,day,GIN,gov.regional; gov.legislate; gov.discourse,pra-uemoa; hac-guinea; uemoa,,full,False,,285,2026-08-31,https://www.africaguinee.com/guinee-la-12e-assemblee-generale-des-regulateurs-de-laudiovisuel-souvre-sur-fond-de-lutte-contre-la-desinformation/
2026-08-31-africaguinee-garde-des-sceaux-cyberespace,"Cyberespace et libertés d'expression : le Garde des Sceaux appelle à 'réguler sans censurer', mais…",Africa Guinée,,2026-08-31,day,GIN,gov.discourse; gov.legislate,ministere-justice-droits-humains-guinee; pra-uemoa; hac-guinea,,full,False,,409,2026-08-31,https://www.africaguinee.com/cyberespace-et-libertes-dexpression-le-garde-des-sceaux-appelle-a-reguler-sans-censurer-mais/
2026-08-26-mediaguinee-reforme-administration-publique-trois-chantiers,Réforme de l'administration publique : le Gouvernement engage trois chantiers majeurs pour moderniser le service public,MediaGuinée,,2026-08-26,day,GIN,gov.legislate; gov.policy; dpi.govtech,ministere-modernisation-administration-fonction-publique-guinee,,full,False,,1307,2026-08-27,https://mediaguinee.com/2026/08/reforme-de-ladministration-publique-le-gouvernement-engage-trois-chantiers-majeurs-pour-moderniser-le-service-public/
2026-08-26-lepandaguinee-guinee-a-mamou-et-dalaba-le-pari-de,"Guinée : à Mamou et Dalaba, le pari de la réforme sanitaire prend une nouvelle dimension",lepandaguinee.com,,2026-08-26,day,GIN,dpi.mis; dpi.exchange; include.access,ministere-sante-hygiene-publique-guinee; enabel; dhis2,,full,False,,1085,2026-09-01,https://lepandaguinee.com/2026/08/26/guinee-a-mamou-et-dalaba-le-pari-de-la-reforme-sanitaire-prend-une-nouvelle-dimension/
2026-08-26-africaguinee-ministere-modernisation-nominations-ande,Ministère de la Modernisation de l'Administration: Le Président Doumbouya nomme plusieurs hauts cadres,Africa Guinée,,2026-08-26,day,GIN,dpi.govtech; gov.policy,ministere-modernisation-administration-fonction-publique-guinee; ande-guinea; presidence-guinee,,full,False,,498,2026-08-27,https://www.africaguinee.com/ministere-de-la-modernisation-de-ladministration-le-president-doumbouya-nomme-plusieurs-hauts-cadres/
2026-08-26-africaguinee-geda-gestion-decrets-arretes,"Gestion des décrets et arrêtés par le Chef de l'Etat: Voici les raisons, selon le Gouvernement",Africa Guinée,,2026-08-26,day,GIN,dpi.govtech; gov.discourse,presidence-guinee; mamadi-doumbouya; ministere-de-la-communication-de-leconomie-numerique-et-de-linnovation-guinee; simandou-2040,,full,False,,411,2026-08-27,https://www.africaguinee.com/gestion-des-decrets-et-arretes-par-le-chef-de-letat-voici-les-raisons-selon-le-gouvernement/
2026-08-24-mediaguinee-logements-sociaux-plateforme-inscription-gouvernement,Logements sociaux pour les fonctionnaires : le Gouvernement lance une plateforme d'inscription et appelle a la vigilance,Mediaguinee,,2026-08-24,day,GIN,dpi.govtech; gov.protect,ministere-modernisation-administration-fonction-publique-guinee,,full,False,,285,2026-08-25,https://mediaguinee.com/2026/08/logements-sociaux-pour-les-fonctionnaires-le-gouvernement-lance-une-plateforme-dinscription-et-appelle-a-la-vigilance/
2026-08-22-guinee360-commande-publique-en-guinee-mamadi-doumbouya,Commande publique en Guinée : Mamadi Doumbouya fixe les modalités de dématérialisation,Guinee360,,2026-08-22,day,GIN,dpi.govtech; gov.legislate,mamadi-doumbouya; armp-guinee; ministere-des-finances-guinee; guinea-code-marches-publics-2019,,full,False,,1376,2026-08-23,https://www.guinee360.com/22/08/2026/commande-publique-en-guinee-mamadi-doumbouya-fixe-les-modalites-de-dematerialisation/
2026-08-22-digital-business-guinee-mamady-doumbouya-pour-succeder-au,Guinée : Mamady Doumbouya pour succéder au ministre de l'Économie numérique limogé ?,Digital Business Africa,,2026-08-22,day,GIN,gov.policy,mamadi-doumbouya; arpt-guinee; ministere-de-la-communication-de-leconomie-numerique-et-de-linnovation-guinee; ansuten-guinee,,full,False,,978,2026-08-23,https://www.digitalbusiness.africa/guinee-mamady-doumbouya-pour-succeder-au-ministre-de-leconomie-numerique-limoge/
