title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Former ministers detail early border system options before Travizory,Seychelles Nation,,2026-09-04,day,SYC,dpi.id; gov.policy,travizory,2026-09-04,https://www.nation.sc/articles/32161/former-ministers-detail-early-border-system-options-before-travizory,
Commission of Inquiry opens into Travizory border agreement,Seychelles Nation,,2026-09-03,day,SYC,gov.policy; dpi.id,travizory-border-security; department-of-immigration-and-civil-status-seychelles,2026-09-04,https://www.nation.sc/articles/32150/commission-of-inquiry-opens-into-travizory-border-agreement,
Information Commission trains newly appointed IOs,Seychelles Nation,,2026-09-02,day,SYC,gov.policy; capacity.training,information-commission-seychelles,2026-09-04,https://nation.sc/articles/32125/information-commission-trains-newly-appointed-ios,
Absa Group Executive Introduces New Managing Director of Absa Bank Seychelles to President Herminie,State House Seychelles,,2026-09-02,day,SYC,dpi.id; gov.discourse,absa; state-house-seychelles; seyid,2026-09-04,https://www.statehouse.gov.sc/news/7231/absa-group-executive-introduces-new-managing-director-of-absa-bank-seychelles-to-president-herminie,
"Policy, Standards & Research Section","Department of Information Communications Technology (DICT), Government of Seychelles",,2026-09-01,day,SYC,gov.standards,dict-seychelles,2026-09-06,https://ict.gov.sc/Sections/PolicySection,
AfCFTA Secretariat and Quest Ghana Limited Sign Joint Venture Agreement to Establish $5.17 Billion AfCFTA Digital Trade Corridor,AfCFTA Secretariat,,2026-09-01,day,SYC; GHA,finance.mou; dpi.exchange; gov.regional,afcfta; quest-ghana,2026-09-04,https://au-afcfta.org/2026/09/afcfta-secretariat-and-quest-ghana-limited-sign-joint-venture-agreement-to-establish-5-17-billion-afcfta-digital-trade-corridor/,
"AfCFTA, Quest Ghana sign deal to establish Digital Trade Corridor",Citi Newsroom,,2026-08-31,day,XAF; GHA; SYC,dpi.pay; gov.regional; finance.mou,afcfta; quest-ghana; afcfta-digital-trade-corridor; papss,2026-09-01,https://www.citinewsroom.com/2026/08/afcfta-quest-ghana-sign-deal-to-establish-digital-trade-corridor/,
"First Lady Mrs Veronique Herminie Urges Girls to Break Barriers and Dream Big - ""Reach for the Skies""",State House Seychelles | Office of the President,,2026-08-29,day,SYC,include.access,state-house-seychelles; mission-shakthisat; ministry-of-education-seychelles,2026-09-06,https://statehouse.gov.sc/news/7217/first-lady-mrs-veronique-herminie-urges-girls-to-break-barriers-and-dream-big-reach-for-the-skies,
"Cabinet Business, Wednesday 26th August, 2026",State House Seychelles / Office of the President,,2026-08-26,day,SYC,gov.policy; data.statistics; dpi.id; gov.legislate,cabinet-of-seychelles; ministry-of-education-seychelles; ministry-of-local-government-and-inner-islands-seychelles,2026-08-27,https://statehouse.gov.sc/news/7211/cabinet-business-wednesday-26th-august-2026,
UNDP Seychelles 2025 Annual Report — Driving Data-Powered Transformation,"United Nations Development Programme (UNDP), Mauritius and Seychelles",,2026-08-25,day,SYC,dpi.govtech; data.statistics; gov.policy,undp; government-of-seychelles,2026-08-27,https://www.undp.org/sites/g/files/zskgke326/files/2026-08/undp_sey_2025_ar_pdf_version.pdf,
Strengthening STI measurement for evidence-based development in SADC,Seychelles Nation,,2026-08-19,day,SYC,data.statistics; gov.standards; capacity.research,sadc; uneca,2026-08-23,https://nation.sc/articles/31971/strengthening-sti-measurement-for-evidencebased-development-in-sadc,
Seychelles advances climate resilience,Seychelles Nation,,2026-08-19,day,SYC,data.statistics; gov.policy,uneca; african-island-states-climate-commission,2026-08-23,https://nation.sc/articles/31975/seychelles-advances-climate-resilience,
National Launch of the RESIslands Initiative in the Republic of Seychelles,UN Economic Commission for Africa,,2026-08-18,day,SYC,data.statistics; dpi.exchange; gov.policy; finance.new,uneca; green-climate-fund,2026-08-23,https://www.uneca.org/eca-events/national-launch-resislands-initiative-republic-seychelles,
ASP Connect modernises social protection delivery,Seychelles Nation,,2026-08-18,day,SYC,dpi.govtech; dpi.mis,agency-for-social-protection-seychelles; world-bank,2026-08-23,https://nation.sc/articles/31959/asp-connect-modernises-social-protection-delivery,
"AD1219: Seychellois endorse media's oversight role, but many doubt that it is truly free",Afrobarometer,,2026-08-11,day,SYC,gov.discourse; include.access,afrobarometer; seychelles-broadcasting-corporation,2026-08-18,https://www.afrobarometer.org/publication/ad1219-seychellois-endorse-medias-oversight-role-but-many-doubt-that-it-is-truly-free/,
