title,publisher,author,published,date_precision,places,topics,entities,ingested,url
EU Seeks Broader Support for African Entrepreneurs,Voice of Nigeria,,2026-09-09,day,XSS; NGA,tech.innovate; finance.new,eib; european-union; african-development-bank,2026-09-09,https://von.gov.ng/eu-seeks-broader-support-for-african-entrepreneurs/
"African Development Bank and AXIAN Launch Digital Finance Programme to Support 34,000 Women-led Businesses in Africa",African Development Bank Group (distributed by APO Group),,2026-09-02,day,MDG; TZA; SEN; TGO; COM; XSS,finance.new; dpi.pay,african-development-bank; axian-group,2026-09-04,https://afdb.africa-newsroom.com/press/african-development-bank-and-axian-launch-digital-finance-programme-to-support-34000-womenled-businesses-in-africa
ITU launches Sub-Saharan broadband push,ITWeb Africa,,2026-08-25,day,MWI; XSS,infra.connect; include.divides; gov.regional; data.statistics,itu; macra; european-union; esri,2026-08-25,https://www.itweb.africa/article/itu-launches-sub-saharan-broadband-push/o1Jr5MxPawdMKdWL
Senators Criticize Trump Administration's Demands to Access Health Data as a Condition for Lifesaving Aid,ProPublica,,2026-08-19,day,UGA; XSS,gov.protect; gov.discourse; dpi.mis; geopol.usa,us-state-department; usaid; pepfar; ministry-of-health-uganda,2026-08-21,https://www.propublica.org/article/senators-letter-health-data-africa-humanitarian-aid
Mapping Mission 300: Unpacking digitisation priorities,GSMA,Jan Priebe,2026-08-19,day,XSS,infra.energy; infra.connect; dpi.mis,gsma; mission-300,2026-08-25,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/blog/mapping-mission-300-unpacking-digitisation-priorities/
La Fondation Gates offre jusqu’à 500 000 $ pour l’utilisation de l’IA dans le planning familial,wearetech.africa,,2026-08-18,day,XSS,tech.ai; finance.new,gates-foundation,2026-08-19,https://www.wearetech.africa/fr/fils/breves/breves-une/la-fondation-gates-offre-jusqu-a-500-000-pour-l-utilisation-de-l-ia-dans-le-planning-familial
Inclusion financière : Vers une Afrique interopérable grâce aux systèmes de paiement instantané,Fraternite Matin,,2026-08-18,day,XSS,dpi.pay; include.access; gov.discourse,africanenda,2026-08-21,https://www.fratmat.info/article/2643974/economie/inclusion-financiere-vers-une-afrique-interoperable-grace-aux-systemes-de-paiement-instantane
Integrating Africa: From Threads to Hubs — Overview,World Bank and Agence française de développement (Africa Development Forum series),,2026-08-14,day,XAF; XSS,gov.regional; dpi.exchange; gov.standards; dpi.pay,world-bank; afd; african-union; afcfta,2026-08-26,https://au.int/en/documents/20260814/integrating-africa-threads-hubs
MTN Launches AI-Powered Job Board to Connect African Youth With Jobs,Tech Africa News,,2026-08-13,day,XSS,capacity.training; include.access; tech.ai,mtn,2026-08-16,https://techafricanews.com/2026/08/13/mtn-launches-ai-powered-job-board-to-connect-african-youth-with-jobs/
Mapping Mission 300: The digital levers in National Energy Compacts,GSMA,Jan Priebe,2026-08-11,day,XSS,infra.energy; infra.connect; gov.policy,world-bank; african-development-bank; mission-300,2026-08-16,https://www.gsma.com/solutions-and-impact/connectivity-for-good/mobile-for-development/blog/mapping-mission-300-the-digital-levers-in-national-energy-compacts/
4G Still Not Ubiquitous: The Coverage Lie Telecoms Keep Telling,TechTrends Africa,,2026-08-05,day,NGA; XSS,infra.connect; gov.discourse; digital.rural,ncc; gsma,2026-08-05,https://techtrends.africa/4g-still-not-ubiquitous-the-coverage-lie-telecoms-keep-telling/
