title,publisher,author,published,date_precision,places,topics,entities,ingested,url,url_note
Econet Ai nears completion of Ndebele-speaking chatbot,CITE Zimbabwe,,2026-09-06,day,ZWE,tech.ai; include.access,econet-ai; econet-wireless-zimbabwe; cassava-ai,2026-09-07,https://cite.org.zw/econet-ai-nears-completion-of-ndebele-speaking-chatbot/,
DR. B. Chirume Appointed To Parliamentary Committee Of The Future As Zimbabwe Eyes 30-Year Digital Roadmap,TechnoMag,,2026-09-04,day,ZWE,gov.policy; gov.discourse,ministry-of-ict-postal-and-courier-services-zimbabwe; parliamentary-committee-of-the-future-zimbabwe,2026-09-07,https://technomag.co.zw/dr-b-chirume-appointed-to-parliamentary-committee-of-the-future-as-zimbabwe-eyes-30-year-digital-roadmap/,
Zimbabwe's internet traffic jumps 57%,ITWeb Africa,,2026-09-04,day,ZWE,infra.connect,potraz; econet-wireless-zimbabwe; netone,2026-09-04,https://itweb.africa/article/zimbabwes-internet-traffic-jumps-57/KzQenvjyjlgqZd2r,
Checking Your ZINARA Frequent Traveller Express Pass (FTEP) Balance,TechnoMag,,2026-09-03,day,ZWE,dpi.pay; include.access,zinara,2026-09-04,https://technomag.co.zw/checking-your-zinara-frequent-traveller-express-pass-ftep-balance/,
Africa urged to put leadership at centre of public sector reforms,The Star (Kenya),,2026-09-03,day,KEN; GHA; SEN; ZWE; GMB; CIV; ETH; NGA; TZA; XAF,capacity.training; dpi.govtech,gates-foundation,2026-09-04,https://www.the-star.co.ke/news/2026-09-03-africa-urged-to-put-leadership-at-centre-of-public-sector-reforms,
TN CyberTech targets AI-powered branches,ITWeb Africa,,2026-09-03,day,ZWE,dpi.pay; tech.ai; finance.new,tn-cybertech,2026-09-04,https://www.itweb.africa/article/tn-cybertech-targets-ai-powered-branches/KjlyrvwBxzoqk6am,
Zimbabwe expands ICT skills support for teachers with visual impairments,Digital Watch Observatory,,2026-09-03,day,ZWE,capacity.training; include.divides; include.access,potraz; internet-society-zimbabwe,2026-09-07,https://dig.watch/updates/zimbabwe-ict-skills-teachers-visual-impairments,
Rockwell secures Mimosa Mine control networks in Zimbabwe,Tech Africa,,2026-09-02,day,ZWE,infra.cybersec; tech.industry,rockwell-automation; mimosa-mine; mine-elect,2026-09-04,https://tech.africa/rockwell-mimosa-mine-ot-security/,
Five Southern African countries move to link customs data as trade corridors face pressure to cut delays,Southern African Times,,2026-09-02,day,ZMB; MWI; MOZ; ZAF; ZWE; XSA,dpi.exchange; gov.regional,sars; trademark-africa; sadc,2026-09-04,https://southernafricantimes.com/five-southern-african-countries-move-to-link-customs-data-as-trade-corridors-face-pressure-to-cut-delays/,
Southern African customs administrations agree roadmap for faster digital trade - Farmers Review Africa,Farmers Review Africa,,2026-08-31,day,MWI; MOZ; ZAF; ZMB; ZWE; XSA,dpi.exchange; gov.regional,sars; trademark-africa; sadc,2026-09-01,https://farmersreviewafrica.com/southern-african-customs-administrations-agree-roadmap-for-faster-digital-trade/,
"Presidential Deeds Digitisation Programme, a scam – lawyers",Masvingo Mirror,,2026-08-29,day,ZWE,dpi.registry; gov.discourse,presidential-deeds-digitisation-programme; law-society-of-zimbabwe; deeds-registry-zimbabwe; ministry-of-justice-zimbabwe; praz,2026-09-01,https://www.masvingomirror.com/presidential-deeds-digitisation-programme-a-scam-lawyers/,
Gateway to Elation launches digital inclusion project for blind communities,Pindula News,,2026-08-29,day,ZWE,include.access; include.divides,gateway-to-elation,2026-09-01,https://news.pindula.co.zw/2026/08/29/gateway-to-elation-launches-digital-inclusion-project-for-blind-communities/,
Govt keen to unlock US$20bn in land value,Zimbabwe Situation (reproducing The Herald),,2026-08-28,day,ZWE,dpi.mis,land-tenure-implementation-committee-zimbabwe; ministry-of-finance-economic-development-and-investment-promotion-zimbabwe,2026-09-01,https://www.zimbabwesituation.com/news/govt-keen-to-unlock-us20bn-in-land-value/,
Econet targets Zim enterprise cloud market,ITWeb Africa,,2026-08-28,day,ZWE,infra.store; dpi.pay,econet-wireless-zimbabwe; cassava-technologies; google-cloud; nvidia,2026-08-28,https://itweb.africa/article/econet-targets-zim-enterprise-cloud-market/rW1xL75ngDKMRk6m,
Liquid SME Bundles Target Zimbabwe SMEs,Shore Africa,,2026-08-27,day,ZWE,finance.new; dpi.pay; tech.industry,liquid-intelligent-technologies; cassava-technologies,2026-09-01,https://shore.africa/2026/08/27/liquid-sme-bundles-zimbabwe-smes/,
