Column,Definition
published,The date the document was published
date_precision,"Whether the published date is precise to day, month or year"
ingested,The date the document was added to Corpus
title,Title of the document
publisher,Publisher
author,"Author, where known"
places,iso-3 codes for the countries and/or regions covered
topics,Ids for the Corpus taxonomy used to classify documents. The taxonomy is listed at https://corpus.data-landscapers.io/methodology/lookups/#topics
entities,Tag ids for organisations or people regularly referenced in documents
url,The public url of the original document
url_note,"Why no url is given, where a documented search found the document is not online; the catalogue record is then the source"
