fy,admin_head_code,admin_head,spending_entity_code,spending_entity,programme_code,programme,sub_programme_code,sub_programme,econ_class,appropriated,revised,actual,audited,exec_vs_voted,exec_vs_revised,baseline_stage,current_stage,scope_confidence,is_transfer,currency,record,programme_line
2024/25,5,,,,,Citizen Affairs,,Identification Services,,184700000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-5-dha-identification-services,Citizen Affairs — Identification Services
2024/25,5,,,,,Immigration Affairs,,Admissions Services (project line within),,208000000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-5-dha-pnr,Immigration Affairs — Admissions Services (project line within)
2024/25,5,,,,,Administration,,Transversal Information Technology Management,,1190100000,1110636000,,,,,appropriated,revised,whole,false,ZAR,2024-02-21-zaf-2024-vote-5-dha-transversal-it,Administration — Transversal Information Technology Management
2024/25,11,,,,,4. e-Government Services and Information Management,,,,25300000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-11-dpsa-egovernment,4. e-Government Services and Information Management
2024/25,14,,,,,Statistical Support and Informatics,,Business Modernisation,,60200000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-14-statssa-business-modernisation,Statistical Support and Informatics — Business Modernisation
2024/25,14,,,,,Statistical Support and Informatics,,"Information, Communication and Technology",,143000000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-14-statssa-ict,"Statistical Support and Informatics — Information, Communication and Technology"
2024/25,22,,,,,,,Information Technology (Administration),,358000000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-22-correctional-it,Information Technology (Administration)
2024/25,25,,,,,Auxiliary and Associated Services,,Information Regulator (transfer to the body),,110900000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-25-information-regulator,Auxiliary and Associated Services — Information Regulator (transfer to the body)
2024/25,25,,,,,Auxiliary and Associated Services,,Justice Modernisation,,661200000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-25-justice-modernisation,Auxiliary and Associated Services — Justice Modernisation
2024/25,30,,,Department of Communications and Digital Technologies,,2. ICT International Relations and Affairs,,,,76677000,75936000,,65860000,85.9,86.7,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-p2-international,2. ICT International Relations and Affairs
2024/25,30,,,Department of Communications and Digital Technologies,,3. ICT Policy Development and Research,,,,43142000,39691000,,27831000,64.5,70.1,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-p3-policy-research,3. ICT Policy Development and Research
2024/25,30,,,Department of Communications and Digital Technologies,,4. ICT Enterprise and Public Entity Oversight,,,,1596919000,1742840000,,1741447000,109.1,99.9,appropriated,audited,partial,false,ZAR,2024-02-21-zaf-2024-vote-30-p4-entity-oversight,4. ICT Enterprise and Public Entity Oversight
2024/25,30,,,Department of Communications and Digital Technologies,,5. ICT Infrastructure Development and Support,,Broadcasting Digital Migration,,15859000,15582000,,10820000,68.2,69.4,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-p5-bdm,5. ICT Infrastructure Development and Support — Broadcasting Digital Migration
2024/25,30,,,Department of Communications and Digital Technologies,,5. ICT Infrastructure Development and Support,,ICT Support,,8953000,9267000,,6150000,68.7,66.4,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-p5-ict-support,5. ICT Infrastructure Development and Support — ICT Support
2024/25,30,,,Department of Communications and Digital Technologies,,6. ICT Information Society and Capacity Development,,,,72196000,67428000,,62548000,86.6,92.8,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-p6-information-society,6. ICT Information Society and Capacity Development
2024/25,30,,,Department of Communications and Digital Technologies,,5. ICT Infrastructure Development and Support,,Broadband,,1894593000,1740634000,,734841000,38.8,42.2,appropriated,audited,whole,false,ZAR,2024-02-21-zaf-2024-vote-30-sa-connect,5. ICT Infrastructure Development and Support — Broadband
2024/25,35,,,,,,,,,22529000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-35-science-ict-transfers,zaf-2024-vote-35-science-ict-transfers
2024/25,39,,,,,,,Digital market inquiry,,20100000,,,,,,appropriated,appropriated,whole,false,ZAR,2024-02-21-zaf-2024-vote-39-dtic-digital-market-inquiry,Digital market inquiry
2025/26,5,,,,,Citizen Affairs,,Identification Services,,175800000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-5-dha-identification-services,Citizen Affairs — Identification Services
2025/26,5,,,,,Administration,,Transversal Information Technology Management,,1146600000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-5-dha-transversal-it,Administration — Transversal Information Technology Management
2025/26,11,,,,,4. e-Government Services and Information Management,,,,23900000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-11-dpsa-egovernment,4. e-Government Services and Information Management
2025/26,14,,,,,,,Business Modernisation,,63300000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-14-statssa-business-modernisation,Business Modernisation
2025/26,14,,,,,,,"Information, Communication and Technology",,149400000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-14-statssa-ict,"Information, Communication and Technology"
2025/26,22,,,,,,,Information Technology (Administration),,377400000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-22-correctional-it,Information Technology (Administration)
2025/26,25,,,,,Auxiliary and Associated Services,,Information Regulator (transfer to the body),,135700000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-25-information-regulator,Auxiliary and Associated Services — Information Regulator (transfer to the body)
2025/26,25,,,,,Auxiliary and Associated Services,,Justice Modernisation,,695300000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-25-justice-modernisation,Auxiliary and Associated Services — Justice Modernisation
2025/26,30,,,,,2. ICT International Relations and Affairs,,,,90000000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-p2-international,2. ICT International Relations and Affairs
2025/26,30,,,,,3. ICT Policy Development and Research,,,,41400000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-p3-policy-research,3. ICT Policy Development and Research
2025/26,30,,,,,4. ICT Enterprise and Public Entity Oversight,,,,1769211000,,,,,,appropriated,appropriated,partial,false,ZAR,2025-05-21-zaf-2025-vote-30-p4-entity-oversight,4. ICT Enterprise and Public Entity Oversight
2025/26,30,,,,,5,,Broadcasting Digital Migration,,13986000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-p5-bdm,5 — Broadcasting Digital Migration
2025/26,30,,,,,5,,ICT Support,,9823000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-p5-ict-support,5 — ICT Support
2025/26,30,,,,,6. ICT Information Society and Capacity Development,,,,73100000,,,,,,appropriated,appropriated,whole,false,ZAR,2025-05-21-zaf-2025-vote-30-p6-information-society,6. ICT Information Society and Capacity Development
