origin,unit,subject_slug,subject,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27,excluded_lines,excluded_usd_m
non-state,US$m,infra.connect,Connectivity,,120,,41,,,,42,418,11,,118,,
non-state,US$m,infra.store,Data Storage,,,,,200,,200,50,,,147,,,
non-state,US$m,tech.industry,ICT Industry,,,,,100,,31,,130,,185,,,
non-state,US$m,tech.innovate,Innovation ecosystem,19,80,36,7,,5,3,24,,,,,,
non-state,US$m,include.access,Access to services,,34,31,12,7,,,,21,57,3,,,
non-state,US$m,data.satellite,Use of satellite data,,,75,,,,,,,,,,,
non-state,US$m,dpi.mis,"Sectoral management information systems (HMIS, EMIS, etc.)",,,,4,11,5,24,4,17,,,,,
non-state,US$m,dpi.pay,Digital Payments and Fintech,,12,,,11,,,5,8,6,,,,
non-state,US$m,capacity.training,Training and skills,,,,,,6,,,11,,20,,,
non-state,US$m,gov.protect,Data protection,,,,,,,,29,,,,,,
non-state,US$m,infra.cybersec,Cybersecurity,,,,,,,,,,11,,4,,
non-state,US$m,gov.policy,"Strategies, plans and policies",,,,,,,,,,2,,,,
non-state,US$m,digital.rural,Rural digital data capture,,,,,,1,,,,,,,,
domestic-state,US$m (IMF annual avg),infra.connect,Connectivity,,,,,,,,,,71,125,98,,
domestic-state,US$m (IMF annual avg),dpi.id,Digital Identity and CRVS,,,,,,,,,,102,63,85,,
domestic-state,US$m (IMF annual avg),dpi.govtech,Other GovTech and e-Gov,,,,,,,,,,35,30,28,,
domestic-state,US$m (IMF annual avg),tech.industry,ICT Industry,,,,,,,,,,58,,,,
domestic-state,US$m (IMF annual avg),gov.protect,Data protection,,,,,,,,,,,,7,,
excluded,,nobase,no enacted baseline (⚠ no appropriated figure — revised/outturn only),,,,,,,,,,,,,5,
