row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
ZAF-infra.connect-data-centre-incentive-instrument,ZAF,infra.connect,Infrastructure,"Data-centre incentive instrument (SEZ, depreciation, grid priority)",,,
ZAF-dpi.govtech-education-management-information-syste,ZAF,dpi.govtech,Digital public infrastructure,Education management information systems,,,
ZAF-dpi.govtech-electronic-death-registration-system,ZAF,dpi.govtech,Digital public infrastructure,Electronic death registration system,,,
ZAF-gov.legislate-cross-border-transfer-adequacy-determi,ZAF,gov.legislate,Governance and regulation,Cross-border transfer adequacy determinations,,,
ZAF-gov.legislate-malabo-convention-ratification-positio,ZAF,gov.legislate,Governance and regulation,Malabo Convention ratification position,,,
ZAF-gov.legislate-afcfta-digital-trade-protocol-domestic,ZAF,gov.legislate,Governance and regulation,AfCFTA Digital Trade Protocol domestication,,,
ZAF-tech.ai-rules-governing-state-automated-decisi,ZAF,tech.ai,Artificial intelligence and the technology sector,Rules governing state automated decision-making,,,
ZAF-tech.ai-ai-incident-or-assurance-register,ZAF,tech.ai,Artificial intelligence and the technology sector,AI incident or assurance register,,,
ZAF-include.access-digital-inclusion-strategy-instrument,ZAF,include.access,Inclusion and capacity,Digital inclusion strategy instrument,,,
ZAF-include.access-national-digital-literacy-measurement,ZAF,include.access,Inclusion and capacity,National digital literacy measurement,,,
ZAF-include.access-municipal-ict-expenditure-data,ZAF,include.access,Inclusion and capacity,Municipal ICT expenditure data,,,
